0,date,time,p_open,p_high,p_low,p_close,volume,st_bullish,st_bearish,st_neutral,ss_asia,ss_europe,ss_newyork,vol_diff,upper_wick_length,lower_wick_length,support,resistance
182,2019.09.24,00:00,1.24327,1.25033,1.2414,1.24891,97587,1,0,0,0,0,0,0.0,5.0,4.0,1,0
183,2019.09.25,00:00,1.24897,1.24976,1.23443,1.23453,101963,0,1,0,0,0,0,0.0,5.0,5.0,0,1
184,2019.09.26,00:00,1.23489,1.23804,1.23026,1.23221,96651,0,1,0,0,0,0,,3.0,4.0,0,0
185,2019.09.27,00:00,1.23216,1.23362,1.22711,1.22893,90744,0,1,0,0,0,0,,4.0,4.0,0,0
186,2019.09.30,00:00,1.22858,1.23463,1.22753,1.22887,89133,1,0,0,0,0,0,,1.0,5.0,1,0
187,2019.10.01,00:00,1.22876,1.23397,1.22049,1.22979,107770,1,0,0,0,0,0,2.0,4.0,2.0,0,0
188,2019.10.02,00:00,1.22995,1.23241,1.22268,1.22996,102857,1,0,0,0,0,0,,4.0,2.0,0,0
189,2019.10.03,00:00,1.22996,1.2413,1.22657,1.2328,121007,1,0,0,0,0,0,1.0,3.0,4.0,0,0
190,2019.10.04,00:00,1.23258,1.23568,1.22761,1.23333,97129,1,0,0,0,0,0,-1.0,4.0,2.0,0,0
191,2019.10.07,00:00,1.2307,1.23367,1.22872,1.22889,81002,0,1,0,0,0,0,-1.0,2.0,5.0,0,1
192,2019.10.08,00:00,1.22888,1.23027,1.21952,1.22184,112406,0,1,0,0,0,0,2.0,5.0,4.0,0,0
193,2019.10.09,00:00,1.22184,1.22916,1.21984,1.22046,100277,0,1,0,0,0,0,-1.0,2.0,5.0,0,0
194,2019.10.10,00:00,1.22046,1.24691,1.22032,1.24251,146344,1,0,0,0,0,0,3.0,5.0,5.0,1,0
195,2019.10.11,00:00,1.24247,1.27069,1.2408,1.26501,170773,1,0,0,0,0,0,1.0,5.0,5.0,0,0
